Abandono,1o. Semestre,Reopção,2007,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,M
Término de Registro Temporário,2o. Semestre,Mobilidade Acadêmica,2015,M
Término de Registro Temporário,2o. Semestre,Convênio AUGM,2015,F
Abandono,1o. Semestre,Vestibular,2009,M
Abandono,1o. Semestre,Vestibular,2009,M
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2011,M
Abandono,1o. Semestre,Vestibular,2011,M
Abandono,1o. Semestre,Vestibular,2011,M
Abandono,1o. Semestre,Vestibular,2013,F
Abandono,1o. Semestre,Vestibular,2015,M
Abandono,1o. Semestre,Transferência Ex-Ofício,2015,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2016,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2016,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2016,M
Cancelamento Pedido,1o. Semestre,Vestibular,2006,M
Cancelamento Pedido,1o. Semestre,Vestibular,2009,M
Cancelamento Pedido,1o. Semestre,Vestibular,2012,M
Cancelamento Pedido,1o. Semestre,Vestibular,2013,M
Cancelamento Pedido,1o. Semestre,Vestibular,2013,F
Cancelamento Pedido,1o. Semestre,Vestibular,2014,M
Cancelamento Pedido,1o. Semestre,Reopção,2015,M
Cancelamento Pedido,1o. Semestre,Processo Seletivo/ENEM,2015,M
Cancelamento Pedido,1o. Semestre,Processo Seletivo/ENEM,2016,M
Formatura,1o. Semestre,Reopção,2007,M
Formatura,1o. Semestre,Vestibular,2008,M
Formatura,1o. Semestre,Vestibular,2008,M
Formatura,1o. Semestre,Vestibular,2008,M
Formatura,1o. Semestre,Vestibular,2009,F
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2009,M
Formatura,1o. Semestre,Vestibular,2010,F
Formatura,1o. Semestre,Vestibular,2010,F
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2011,M
Formatura,1o. Semestre,Vestibular,2011,M
Formatura,1o. Semestre,Vestibular,2011,M
Formatura,1o. Semestre,Vestibular,2011,M
Formatura,1o. Semestre,Vestibular,2011,M
Formatura,1o. Semestre,Vestibular,2011,M
Formatura,1o. Semestre,Vestibular,2012,M
Jubilamento,1o. Semestre,Vestibular,2008,M
Jubilamento,1o. Semestre,Aproveitamento Curso Superior,2009,F
Jubilamento,1o. Semestre,Vestibular,2009,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2016,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2016,M
Não Confirmação de Vaga,1o. Semestre,Processo Seletivo/ENEM,2016,M
Não Confirmação de Vaga,1o. Semestre,Processo Seletivo/ENEM,2016,M
Não Confirmação de Vaga,1o. Semestre,Processo Seletivo/ENEM,2016,F
Não Confirmação de Vaga,1o. Semestre,Processo Seletivo/ENEM,2016,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2016,M
Novo Vestibular,1o. Semestre,Vestibular,2010,M
Novo Vestibular,1o. Semestre,Vestibular,2013,M
Novo Vestibular,1o. Semestre,Vestibular,2013,M
Término de Registro Temporário,1o. Semestre,Mobilidade Acadêmica,2015,M
Término de Registro Temporário,1o. Semestre,Mobilidade Acadêmica,2015,M
Abandono,2o. Semestre,Vestibular,2008,M
Abandono,2o. Semestre,Vestibular,2009,M
Abandono,2o. Semestre,Vestibular,2009,M
Abandono,2o. Semestre,Vestibular,2009,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2011,M
Abandono,2o. Semestre,Vestibular,2012,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Vestibular,2014,F
Abandono,2o. Semestre,Vestibular,2014,M
Abandono,2o. Semestre,Vestibular,2014,M
Abandono,2o. Semestre,Vestibular,2014,F
Abandono,2o. Semestre,Vestibular,2014,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,2o. Semestre,Vestibular,2015,M
Abandono,2o. Semestre,Vestibular,2015,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2016,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,M
Cancelamento Pedido,2o. Semestre,Reopção,2016,F
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,F
Formatura,2o. Semestre,Processo Seletivo/ENEM,2012,M
Jubilamento,2o. Semestre,Transferência Provar,2007,M
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Transferência Ex-Ofício,2010,M
Abandono,1o. Semestre,Vestibular,2011,M
Abandono,1o. Semestre,Vestibular,2011,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Vestibular,2013,M
Abandono,1o. Semestre,Vestibular,2013,F
Abandono,1o. Semestre,Vestibular,2014,M
Abandono,1o. Semestre,Vestibular,2014,M
Abandono,1o. Semestre,Vestibular,2014,M
Abandono,1o. Semestre,Processo Seletivo/ENEM,2014,F
Abandono,1o. Semestre,Vestibular,2015,M
Abandono,1o. Semestre,Vestibular,2015,M
Abandono,1o. Semestre,Vestibular,2016,M
Abandono,1o. Semestre,Processo Seletivo/ENEM,2016,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2017,F
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2017,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2017,F
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2017,M
Cancelamento Administrativo,1o. Semestre,Processo Seletivo/ENEM,2017,M
Cancelamento Pedido,1o. Semestre,Vestibular,2014,M
Cancelamento Pedido,1o. Semestre,Vestibular,2014,F
Cancelamento Pedido,1o. Semestre,Processo Seletivo/ENEM,2014,F
Cancelamento Pedido,1o. Semestre,Vestibular,2015,M
Cancelamento Pedido,1o. Semestre,Vestibular,2015,M
Cancelamento Pedido,1o. Semestre,Vestibular,2015,M
Formatura,1o. Semestre,Vestibular,2010,M
Formatura,1o. Semestre,Vestibular,2010,M
Jubilamento,1o. Semestre,Vestibular,2010,M
Jubilamento,1o. Semestre,Vestibular,2010,M
Jubilamento,1o. Semestre,Vestibular,2011,M
Jubilamento,1o. Semestre,Vestibular,2011,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2017,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2017,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2017,M
Não Confirmação de Vaga,1o. Semestre,Processo Seletivo/ENEM,2017,M
Novo Vestibular,1o. Semestre,Vestibular,2010,M
Novo Vestibular,1o. Semestre,Vestibular,2013,M
Novo Vestibular,1o. Semestre,Vestibular,2016,M
Reopção,1o. Semestre,Vestibular,2015,M
Reopção,1o. Semestre,Processo Seletivo/ENEM,2016,M
Reopção,1o. Semestre,Vestibular,2016,M
Reopção,1o. Semestre,Processo Seletivo/ENEM,2016,M
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,F
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,M
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,M
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,F
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,F
Término de Registro Temporário,1o. Semestre,Aluno Intercâmbio,2016,F
Abandono,2o. Semestre,Vestibular,2008,M
Abandono,2o. Semestre,Vestibular,2010,F
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2010,M
Abandono,2o. Semestre,Vestibular,2011,M
Abandono,2o. Semestre,Vestibular,2012,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Reopção,2015,M
Abandono,2o. Semestre,Vestibular,2015,M
Abandono,2o. Semestre,Vestibular,2015,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,F
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Convênio Pec-G,2016,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2017,M
Cancelamento Pedido,2o. Semestre,Vestibular,2017,M
Formatura,2o. Semestre,Vestibular,2007,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2010,M
Formatura,2o. Semestre,Vestibular,2011,F
Formatura,2o. Semestre,Vestibular,2011,F
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2011,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,F
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2012,F
Formatura,2o. Semestre,Vestibular,2012,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Vestibular,2013,M
Formatura,2o. Semestre,Processo Seletivo/ENEM,2013,M
Formatura,2o. Semestre,Vestibular,2013,F
Formatura,2o. Semestre,Vestibular,2014,F
Formatura,2o. Semestre,Vestibular,2014,M
Formatura,2o. Semestre,Vestibular,2014,M
Formatura,2o. Semestre,Vestibular,2014,F
Formatura,2o. Semestre,Vestibular,2014,M
Formatura,2o. Semestre,Vestibular,2014,M
Abandono,1o. Semestre,Vestibular,2010,F
Abandono,1o. Semestre,Vestibular,2010,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Vestibular,2012,M
Abandono,1o. Semestre,Processo Seletivo/ENEM,2014,F
Abandono,1o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,1o. Semestre,Vestibular,2015,F
Abandono,1o. Semestre,Processo Seletivo/ENEM,2015,M
Abandono,1o. Semestre,Vestibular,2016,M
Abandono,1o. Semestre,Vestibular,2016,M
Abandono,1o. Semestre,Vestibular,2017,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2018,F
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2018,M
Cancelamento a Pedido do Calouro,1o. Semestre,Vestibular,2018,F
Cancelamento Pedido,1o. Semestre,Vestibular,2013,M
Cancelamento Pedido,1o. Semestre,Vestibular,2016,F
Cancelamento Pedido,1o. Semestre,Vestibular,2016,M
Cancelamento Pedido,1o. Semestre,Vestibular,2016,M
Cancelamento Pedido,1o. Semestre,Vestibular,2016,M
Cancelamento Pedido,1o. Semestre,Vestibular,2018,M
Cancelamento Pedido,1o. Semestre,Vestibular,2018,F
Cancelamento Pedido,1o. Semestre,Vestibular,2018,M
Cancelamento Pedido,1o. Semestre,Processo Seletivo/ENEM,2018,M
Formatura,1o. Semestre,Vestibular,2013,M
Formatura,1o. Semestre,Processo Seletivo/ENEM,2016,M
Jubilamento,1o. Semestre,Vestibular,2011,M
Jubilamento,1o. Semestre,Vestibular,2011,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,F
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Não Confirmação de Vaga,1o. Semestre,Vestibular,2018,M
Novo Vestibular,1o. Semestre,Vestibular,2014,F
Novo Vestibular,1o. Semestre,Vestibular,2017,F
Término de Registro Temporário,1o. Semestre,Mobilidade Acadêmica,2017,M
Término de Registro Temporário,1o. Semestre,Mobilidade Acadêmica,2017,M
Abandono,2o. Semestre,Vestibular,2011,M
Abandono,2o. Semestre,Vestibular,2011,M
Abandono,2o. Semestre,Vestibular,2012,M
Abandono,2o. Semestre,Vestibular,2012,M
Abandono,2o. Semestre,Vestibular,2013,M
Abandono,2o. Semestre,Vestibular,2014,M
Abandono,2o. Semestre,Vestibular,2015,F
Abandono,2o. Semestre,Vestibular,2015,M
Abandono,2o. Semestre,Vestibular,2016,M
Abandono,2o. Semestre,Vestibular,2016,F
Abandono,2o. Semestre,Processo Seletivo/ENEM,2016,M
Abandono,2o. Semestre,Processo Seletivo/ENEM,2017,M
Abandono,2o. Semestre,Vestibular,2018,M
Reopção,2o. Semestre,Vestibular,2016,M
Reopção,2o. Semestre,Processo Seletivo/ENEM,2017,M
Reopção,2o. Semestre,Vestibular,2017,M
